Numer rekordu | wartosc oryginalna | wartosc wygladzona

 8 | 44.900000 | 44.900000
 9 | 44.745000 | 44.822500
12 | 44.798000 | 44.814333
13 | 44.737000 | 44.760000
14 | 44.963000 | 44.832667
15 | 45.545000 | 45.081667
16 | 45.621000 | 45.376333
19 | 45.498000 | 45.554667
20 | 45.865000 | 45.661333
21 | 45.869000 | 45.744000
22 | 45.877000 | 45.870333
23 | 45.772000 | 45.839333
26 | 45.774000 | 45.807667
27 | 45.890000 | 45.812000
28 | 46.189000 | 45.951000
29 | 46.330000 | 46.136333
30 | 46.188000 | 46.235667
